,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
0,Anuj,India,Standard Double Room without Window,1 night ·  August 2020,Solo traveler,"Reviewed: August 17, 2020",Exceptional,Room quality.. hotel staff.. the bar..,There was cig box in the room which i think they forgot to clean.,10
1,B,United Kingdom,Standard Double Room,1 night ·  February 2021,Couple,"Reviewed: February 13, 2021",Good,"The bed, size of room, the bath tub feature in the bathroom and the location",Dirty windows and dead bug found in the bath also the heating was not working,7.0
2,Lex,United Kingdom,Standard Double Room,2 nights ·  February 2021,Solo traveler,"Reviewed: February 7, 2021",Good,I was made very welcome at the britania Hotel .exerlent reception staff .Great hospitality. I would especially like to thank Syl on reception,Not Available,7.0
3,Rashida,United Kingdom,Standard Twin Room,1 night ·  January 2021,Couple,"Reviewed: February 1, 2021",It was a pleasant stay.,Location was brilliant.,The first room given was not clean. On notifying the staff they changed our room straight away.,7.0
4,Floyd,United Kingdom,Standard Double Room,1 night ·  January 2021,Solo traveler,"Reviewed: January 21, 2021",My stay was fantastic,"Syl checked me in. She was friendly and professional. Offered me an upgrade and helped to make my stay very lovely. 
She is truly a valuable member of your team",Not Available,6.0
5,David,United Kingdom,Standard Double Room without Window,1 night ·  November 2020,Solo traveler,"Reviewed: January 19, 2021",Very Good,The Hotel was competitively priced clean and a great location for mt visit,Not Available,8.0
6,Antony,United Kingdom,Standard Double Room,4 nights ·  January 2021,Solo traveler,"Reviewed: January 12, 2021",Relaxing and comfortable,"Very nice Hotel, suitably located for my visit.",Sadly due to Covid restrictions as with all Hotels nothing was open.,7.0
7,Suresh,United Kingdom,Standard Double Room without Window,1 night ·  January 2021,Solo traveler,"Reviewed: January 10, 2021",Pleasant stay,"Rooms are clean , bet comfortable",WiFi not working .,7.0
8,Freddie,Spain,Standard Twin Room without Window,1 night ·  December 2020,Family,"Reviewed: January 9, 2021",It was a convenient stopover.,Location. I know the area quite well and rhe access is quite easy,The common areas are looking jaded and in need of redecorating. Grafitti scratched on lift. The car park was expensive.,6.0
9,Starboy,United Kingdom,Standard Double Room without Window,1 night ·  January 2021,Couple,"Reviewed: January 6, 2021",Fair,"The images on bookings.com
The receptionist
The shower. Cheap but nice an warm","TV had no working channels due to expose cable wire from connector which I had to push in. TV remote is useless in room 925. I don't know about other rooms. Fashion is low. For location I was really expecting something more worthy. Set the heating to 26° but all night I been shivering until I turned it off. I wish I could get back my money. I'd feel better sleeping in the car for the night. I've been to lower class hotels before but atleast they had usb plug sockets, here there was none. Its nothing compared to the images. And that car park really need some work done. I had to pay £20+ to park under that broken looking space. You get 2x20 minutes free on WiFi then you have to pay. Not the cleanest. Carpets are old and obvious.",5.4
10,Taz,United Kingdom,Standard Double Room,1 night ·  January 2021,Couple,"Reviewed: January 4, 2021",Ok,Ok,Ok,8.0
11,Derrick,United Kingdom,Standard Double Room,1 night ·  December 2020,Solo traveler,"Reviewed: January 3, 2021",Very Good,I'm yet to see the Friday bar.Aside that everything looked splendid and warm reception too.,Not Available,8.0
12,Antonio,United Kingdom,Standard Double Room without Window,2 nights ·  January 2021,Group,"Reviewed: January 3, 2021",Good,"Attention Reception... They are very polite...
Thanks for the hospitality.",Only two channel in TV and the drainer filter AC must be clean.......,7.0
13,Ladis,United Kingdom,Standard Double Room,1 night ·  January 2021,Solo traveler,"Reviewed: January 3, 2021",Very Good,"Good place, perfect location for me, clean, good staff good and clever reception !",Not Available,8.0
14,Ben,Sweden,Standard Double Room without Window,2 nights ·  December 2020,Solo traveler,"Reviewed: December 20, 2020",Easy in and out for work!!,"The location is PERFECT!!!
There was no breakfast, restaurant was closed.
The staff is friendly and gives a helping hand if you need it.",My impression is that standar of everthing is a little bi aged and old...,6.0
15,Ceedy,United Kingdom,Standard Double Room without Window,1 night ·  December 2020,Couple,"Reviewed: December 18, 2020",Very Good,Disappointed with the heating .the heating was really hard to turn it on,Not Available,8.0
16,Nicola,United Kingdom,Standard Twin Room without Window,1 night ·  December 2020,Family,"Reviewed: December 16, 2020",Good,Perfect location reasonable price,Not Available,7.0
17,Paul,United Kingdom,Standard Double Room,1 night ·  December 2020,Couple,"Reviewed: December 13, 2020",Good value for money.,Continuous buzzing noise coming from heating system in ceiling which kept me awake through the night. Interior is dated and a little tied.,Not Available,7.0
18,Sujitharan,United Kingdom,Standard Double Room,1 night ·  December 2020,Couple,"Reviewed: December 10, 2020",Alright,It was two single beds joint together,Not Available,6.0
19,Kenny,United Kingdom,Standard Double Room,1 night ·  December 2020,Couple,"Reviewed: December 7, 2020",Great stay for the money,"Nice staff 
Classic layout
Good location","Had to show photo ID, this was not made clear before arrival",7.0
20,Charmaine,United Kingdom,Standard Double Room without Window,1 night ·  December 2020,Couple,"Reviewed: December 7, 2020","Clean, convenient and comfortable with loads of character.","The room was lovely, period features and a vintage feel to it. If it wasn't for the tv and the fan, we would have felt like we were on a n old movie set. It might not be to everyone's taste but this hotel holds a certain charm that you wouldn't get in a more modern one. We loved it . Staff were polite and helpful.",Check out was at 10:00 instead of the usual 11:00 or even 12:00 at most other hotels and late check out was charged at a costly £10 per hour.,8.0
21,Faatimah,United Kingdom,Standard Double Room,2 nights ·  December 2020,Solo traveler,"Reviewed: December 5, 2020",Good,It was comfortable and spacious room with facilities in the room which i was pleased with extra blankets! Thank you.,I think they should incorporate parking charges in the stay rather then charging on top. £25 for the day is a bit expensive especially as the parking facilities are on their site so they should accommodate for their guests,7.0
22,Shepherd,United Kingdom,Standard Double Room without Window,1 night ·  November 2020,Solo traveler,"Reviewed: December 1, 2020",Pleasant,room,Not Available,6.0
23,Gul,Sweden,Standard Twin Room without Window,1 night ·  November 2020,Group,"Reviewed: November 30, 2020",Pleasant,Bed,Bathroom,6.0
24,Karolewska,United Kingdom,Standard Double Room without Window,1 night ·  October 2020,Solo traveler,"Reviewed: November 26, 2020",Pleasant,Served Hot Food till late.,Not Available,6.0
25,Asad,United Kingdom,Standard Double Room,1 night ·  September 2020,Solo traveler,"Reviewed: November 13, 2020",Nice hotel,Friendly staff and great customer service,N/a,8.0
26,Ryan,United Kingdom,Standard Double Room,1 night ·  October 2020,Solo traveler,"Reviewed: November 8, 2020",Nice place to get away whilst in the city,"Ornate and clean, well situated and mostly pleasant staff","Poor atmosphere in the bar, Saturday evening drinks with friends and instead of music or anything ambient, we had a bbc news segment on slavery playing as a member of staff watched. Incredibly patronising gentleman on the front desk.",8.0
27,Karen,United Kingdom,Standard Double Room,1 night ·  October 2020,Couple,"Reviewed: October 31, 2020",Comfortable. Friendly & good value.,"Breakfast was good, and to be honest amazing for the all in price.",Wifi,7.0
28,Shanmitch100,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Couple,"Reviewed: October 31, 2020","Quality service. A traditional hotel, with an old authentic feel. Overall a lovely stay.","The location is decent, with a very standard view. The hotel staff overall have excellent service and are very helpful. It was a very pleasant stay, would easily recommend.",Not Available,8.0
29,Brogan,United Kingdom,Standard Double Room without Window,1 night ·  October 2020,Couple,"Reviewed: October 29, 2020",Good,Very polite staff,Toilet could do with a modern upgrade,7.0
30,Stella,United Kingdom,Standard Double Room,2 nights ·  October 2020,Couple,"Reviewed: October 28, 2020",Thank you,No breakfast was taken,No more spa,7.0
31,Leonel,United Kingdom,Standard Double Room without Window,1 night ·  October 2020,Couple,"Reviewed: October 19, 2020",Very Good,The location and the room was big enough for me,None,8.0
32,Imran,United Kingdom,Standard Double Room without Window,1 night ·  October 2020,Group,"Reviewed: October 18, 2020",Very Good,Was nice and clean,"The bathroom door have a trouble to open ,
I locked twice inside 🤩 but was everything nice and comfortable,
Thanks 😊",8.0
33,Paul,United Kingdom,Standard Double Room,1 night ·  October 2020,Couple,"Reviewed: October 18, 2020",Very Good,Friendly staff great location,"Stayed hear several times due to great location and price, but hotel starting to look dated and tired",8.0
34,Steven,United Kingdom,Standard Double Room without Window,1 night ·  September 2020,Couple,"Reviewed: October 17, 2020",Very Good,"The staff, view and upgraded room.","The first room we where offered was poor but it was only £40 so we upgraded instantly and the new room was amazing. Word of advice, pay the extra to upgrade, the chesp rooms are cheap for a reason! Besides that it was excellent 👌",8.0
35,Intis,United Kingdom,Standard Double Room,1 night ·  October 2020,Solo traveler,"Reviewed: October 16, 2020",Good,Bar,No wifi,7.0
36,Christina,United Kingdom,Standard Double Room without Window,2 nights ·  October 2020,Couple,"Reviewed: October 16, 2020",Comfy,Everything was pretty cool,That there was no window,8.0
37,Alison,United Kingdom,Standard Double Room without Window,1 night ·  October 2020,Couple,"Reviewed: October 11, 2020",Value for money,Value for money,Bed was a little uncomfortable but otherwise good stay,7.0
38,Raymond,United Kingdom,Standard Double Room without Window,1 night ·  October 2020,Solo traveler,"Reviewed: October 5, 2020",Pleasant,Nice room space,Didint like the early check out,6.0
39,Karen,United Kingdom,Standard Double Room,1 night ·  October 2020,Couple,"Reviewed: October 5, 2020",Comfortable. Friendly & good value.,I have stayed here many times. The staff are very helpful. The breakfast is very good. Felt very comfortable with the cleanliness and the instructions due to covid. Its a very value for money hotel.,Just the WiFi situation. Only if I didn't have unlimited data.,7.0
40,Nadine,United Kingdom,Standard Double Room,2 nights ·  October 2020,Couple,"Reviewed: October 4, 2020",Overall it’s was good.,The dressing table need to spray over.,Not Available,6.0
41,Muhammad,United Kingdom,Standard Double Room without Window,1 night ·  October 2020,Group,"Reviewed: October 3, 2020","Clean, Friendly and nice room",Staff was friendly and the service met my standards would definitely recommend,Not Available,8.0
42,Lee,United Kingdom,Standard Double Room without Window,2 nights ·  September 2020,Couple,"Reviewed: September 30, 2020",Good,Excellent location and staff,Great location,7.0
43,Debbie,United Kingdom,Standard Double Room,4 nights ·  September 2020,Couple,"Reviewed: September 29, 2020",Good,Friendly staff. Great location . Great breakfast,The beds were really bad 2 single mattress joined together kept falling in the crack,7.0
44,Graham,United Kingdom,Standard Double Room,4 nights ·  September 2020,Solo traveler,"Reviewed: September 29, 2020",Good,Very friendly staff,Bit dated,7.0
45,Vic,United Kingdom,Standard Double Room,1 night ·  August 2020,Couple,"Reviewed: September 28, 2020",Great value for a perfect location,staff very helpful and polite,Nothing but Covid restrictions are frustrating - reduced elevators for example,7.0
46,Michelle,United Kingdom,Executive Double Room,1 night ·  August 2020,Family,"Reviewed: September 26, 2020",Pleasant,The bath and the view,Paying for parking,6.0
47,Tia_pap,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Couple,"Reviewed: September 26, 2020",Great,Staff was great,Bed was too uncomfortable,8.0
48,Timothy,United Kingdom,Standard Double Room without Window,1 night ·  September 2020,Solo traveler,"Reviewed: September 26, 2020",very happy with the hotel,Great location and good value nice clean room with a comfortable bed.,Not Available,7.0
49,Jan,United Kingdom,Standard Double Room without Window,1 night ·  September 2020,Solo traveler,"Reviewed: September 25, 2020","As expected, great value for location",All fine. Room smelled faintly of smoke.,Not Available,8.0
50,Bibi,United Kingdom,Standard Double Room,1 night ·  August 2020,Couple,"Reviewed: September 25, 2020",ok,parking expensive,parking,6.0
51,It’s,United Kingdom,Standard Double Room,1 night ·  September 2020,Couple,"Reviewed: September 24, 2020",Very Good,Great room and was clean,"Was boiling in the room, unsure if air con worked. Check in is far too late and shouldn’t have to pay extra to check in at 2pm instead of 4pm.",8.0
52,Margo,United Kingdom,Standard Double Room without Window,1 night ·  September 2020,Couple,"Reviewed: September 23, 2020",Pleasant,The eclectic style,"Perfect location, staff extremely welcoming, hotel was large, old with plenty of character, enjoyed my stay.",6.0
53,Dean,United Kingdom,Standard Twin Room without Window,6 nights ·  September 2020,Couple,"Reviewed: September 21, 2020","It was easy to do, and it’s close to places.",Close to Tesco,Not Available,8.0
54,Lauren,United Kingdom,Standard Double Room without Window,1 night ·  September 2020,Solo traveler,"Reviewed: September 20, 2020",Short stay in Canary wharf,"Brittania has a bit of a reputation but if your into the authentic old fashioned look then you may like it, chandelier hallways, status and vintage-like paintings on the walls and even unusual not common objects like a bidet shower in the bathroom this hotel definitely has character. Big spacious baths and others being jacuzzi baths some of the rooms have spiral staircases and a nice view of the river Thames. Majority of the staff are very friendly assertive and try to meet any needs. Jubilee mall close by which is nice to have a shop at or even just a walk around. Great location","The mattresses could be slightly more comfortable, bed frames a little more stable, just needed a spruce up. You can stay on top of DIY without changing the authentic look, maybe refurbishment would be in dire need a little TLC and this hotel would exceed its reputation in my opinion.",7.0
55,Malcolm,United Kingdom,Standard Double Room,3 nights ·  September 2020,Solo traveler,"Reviewed: September 20, 2020",Lovely hotel for location. But hotel needs some Essential maintenance,"Location, cheap beer at the bar and friendly staff",Hotel needs a lick of paint. It’s falling apart and the furniture marked and ripped,7.0
56,Kiran,United Kingdom,Standard Double Room without Window,1 night ·  September 2020,Couple,"Reviewed: September 20, 2020",Value for money,Room was spacious and clean. Location was great.,Outdated and funny smell.,8.0
57,Barry,United Kingdom,Standard Double Room,1 night ·  September 2020,Couple,"Reviewed: September 19, 2020",Convenient,Noisy neighbours throughout the night- noise coming through air conditioning vents from nearby room,Not Available,6.0
58,Zenish,United Kingdom,Standard Double Room without Window,1 night ·  September 2020,Family,"Reviewed: September 17, 2020",Very Good,Loved the location :),Not Available,8.0
59,Tengyue,United Kingdom,Standard Double Room without Window,2 nights ·  September 2020,Solo traveler,"Reviewed: September 17, 2020",Good,The spacious room and fabulous view.,The WiFi was not free and usage required payment.,7.0
60,Rujena,United Kingdom,Standard Double Room,1 night ·  September 2020,Couple,"Reviewed: September 17, 2020",Good,"The staff, decor and cleanliness. 
Remote protected. 
Parking (£25)","Not value for money. When they say ‘room with a view’ it means a window with whatever is outside of it. In our case, construction and dirty skips. 
Bed springs were broken
AC worked as additional heat! Broken",7.0
61,Nimo,United Kingdom,Standard Double Room without Window,1 night ·  September 2020,Solo traveler,"Reviewed: September 14, 2020",Very Good,The staff,Could been cleaner,8.0
62,Weerada,United Kingdom,Standard Double Room,1 night ·  August 2020,Couple,"Reviewed: September 14, 2020",Very Good,"Good location, cheap price but comfortable",Staff is polite but need more communication between housekeeping department and reception.,8.0
63,Samuel,Spain,Standard Double Room,2 nights ·  September 2020,Couple,"Reviewed: September 14, 2020",Very Good,Bathrobes and slippers would of been very nice,Not Available,8.0
64,Adrian,United Kingdom,Standard Twin Room without Window,1 night ·  September 2020,Solo traveler,"Reviewed: September 13, 2020",Very Good,Staff were once again excellent.,Not Available,8.0
65,Tony,United Kingdom,Standard Twin Room without Window,1 night ·  September 2020,Family,"Reviewed: September 13, 2020",Very Good,"The rooms were spacious,the bar was excellent especially the bar man.all the staff were 1st class",One fo the rooms had stuff under the bed and there was hairs in the shower,8.0
