,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
0,Klára,Czech Republic,Deluxe King Room,2 nights ·  October 2019,Couple,Reviewed: 20 October 2019,Exceptional,"Everything, breakfast, clean rooms and location!
Special thanks to Arti!",Everything was perfect!,10
1,Simon,United Kingdom,Double Guest Room,2 nights ·  March 2021,Solo traveller,Reviewed: 17 March 2021,Hilton Canary Wharf,Staff were excellent given the current lockdown restrictions and the room was spotless.,All facilities were closed due to lockdown restrictions - clearly not the hotels fault.,8.0
2,Michael,United Kingdom,Executive King Room,2 nights ·  February 2021,Family,Reviewed: 21 February 2021,"Nice room, bed supercomfortable. Obviously any hotel stay these days is a bit challenging.","We like this hotel and have stayed here before. The rooms are comfortable, spacxious enough and the location is ideal in Canary Wharf. Underground parking also excellent. Price good. Bathrooms have a shower and bath.","Breakfast - brought to rooms because of the pandemic, but 2nd night we preferred to eat elsewhere. We didn't eat much, it wasn't great, but the hotel tried their best and very understanding.
Complex check-in due to pandemic having to demonstrate legitimate work reasons for stay - this is governmental, requirement, not the hotel's.",8.0
3,Zainab,United Kingdom,King Junior Suite,2 nights ·  December 2020,Couple,Reviewed: 17 January 2021,Exceptional,The staff were very friendly... they went above and beyond with every request.,The breakfast was not worth the price,10
4,Aranjones,United Kingdom,King Junior Suite,2 nights ·  January 2021,Solo traveller,Reviewed: 14 January 2021,Exceptional,"Excellent safety precautions, superb room, very pleased indeed with my stay","It's not the fanciest part of town, but for a work trip that's absolutely fine.",10
5,Anthony,United Kingdom,Double Guest Room,2 nights ·  December 2020,Solo traveller,Reviewed: 10 January 2021,Very good,Everything was as expected.,I would have expected free Wi-Fi,8.0
6,Pauline,United Kingdom,Double Guest Room,1 night ·  December 2020,Solo traveller,Reviewed: 3 January 2021,Very pleasant,Well situated,Rather empty. Would have liked a magazine even if just Time Out but something to make room more homely,9.0
7,Alvin,United Kingdom,Double Guest Room,1 night ·  December 2020,Couple,Reviewed: 17 December 2020,Great place to stay.,"Easy to get to, friendly welcoming staff. Very clean, family atmosphere. Great breakfast.",Not Available,9.0
8,Michael,United Kingdom,Double Guest Room,1 night ·  December 2020,Group,Reviewed: 17 December 2020,Superb,All very good staff very polite & helpful.,could be better signage outside the hotel as we drove past it twice,9.0
9,Paul,United Kingdom,Deluxe King Room,2 nights ·  December 2020,Solo traveller,Reviewed: 9 December 2020,Exceptional,"Excellent, room was very nice, quiet and very comfortable. Staff were all extremely helpful and friendly",Not Available,10
