,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
0,Silviu,Montenegro,Superior Double Room with City View,3 nights ·  July 2019,Couple,Reviewed: 16 July 2019,Exceptional,"the view from the double deluz room at 28th floor is breatthtaking... no to mention the restaurant on top. If you include breakfast(and if you ask me, it's a must!) you eat it there at the restaurant on top of the hotel with the amazing view. Great way to start the day",I added an extra day to the reservation via phone call but the payment didn't go through and I wasn't notified about this... I had to deal witht the issue on site when I arrived. Luckily it was resolved to the same room but it was only by chance.. since they could have given the room away.,10
1,Marie,United Kingdom,Superior Double Room,1 night ·  December 2020,Couple,Reviewed: 10 January 2021,My Novotel BirthdayTreat 🥳,"I was kindly upgraded to a city view room as it was my birthday, view was amazing! Room was very clean & bed was very comfortable! So comfortable in fact was extended our check out time until 2pm.",No parking at hotel.,8.0
2,Karrman,United Kingdom,Superior Double Room,1 night ·  December 2020,Solo traveller,Reviewed: 1 January 2021,Great hitel,Very friendly staff,Nothing,10
3,Jamal,United Kingdom,Superior Twin Room,1 night ·  December 2020,Couple,Reviewed: 20 December 2020,Exceptional,Excellent,Not Available,10
4,Gregory,South Africa,Superior Double Room,6 nights ·  December 2020,Solo traveller,Reviewed: 14 December 2020,Fabulous,The Facility and the staff were sonwarm,Not Available,9.0
5,Francesca,Italy,Superior Double Room,1 night ·  December 2020,Couple,Reviewed: 13 December 2020,Very good,Great reception! Thanks Sara. Amazing view from the room! Comfortable bed and good shower !,Stains on carpet and chairs.,8.0
6,Rodoba,United Kingdom,Executive Double Room,1 night ·  December 2020,Group,Reviewed: 12 December 2020,Exceptional,The view was everything.,Nothing that I can think of.,10
7,James,United Kingdom,Superior Double Room,1 night ·  December 2020,Group,Reviewed: 7 December 2020,"Brilliant - clean, safe and confortable",Excellent staff- wonderful and friendly greeting and handling of all matters,Nothing !!,10
8,Tanaka,United Kingdom,Superior Double Room,2 nights ·  December 2020,Couple,Reviewed: 7 December 2020,Weekend stay,Good location,Not Available,8.0
9,Chloe,United Kingdom,Superior Double Room,2 nights ·  December 2020,Solo traveller,Reviewed: 6 December 2020,Very good,There was a loud party going on in one of the rooms which kept me up but other than that good,Not Available,8.0
10,Francesca,United Kingdom,Superior Double Room,1 night ·  December 2020,Couple,Reviewed: 6 December 2020,Superb,Check in and out was easy. Comfortable bed and big TV. The rooftop bar Bokan has beautiful views! Very friendly and helpful staff throughout the hotel and bar.,Not Available,9.0
11,Alice,United Kingdom,Superior Double Room,1 night ·  December 2020,Solo traveller,Reviewed: 4 December 2020,Exceptional,"Hotel was great, very friendly staff and the room had an amazing view.
Lots of amenities in the room which is a bonus.",Bottled water in the room would be great.,10
12,Ria,United Kingdom,Superior Double Room with City View,1 night ·  October 2020,Couple,Reviewed: 5 November 2020,Lovely stay,Amazing view and good value for money. Roof top bar is exceptional good quality food and drink,Not Available,10
13,Forida,United Kingdom,Superior Double Room,1 night ·  November 2020,Couple,Reviewed: 5 November 2020,"Amazing, very accommodating due to the current circumstances",I loved the reception staff was amazing,"The staff, the room and the service",10
14,Lukasz,United Kingdom,Superior Twin Room,2 nights ·  October 2020,Solo traveller,Reviewed: 4 November 2020,Amazing hotel with incredible view on city of london and great service,amazing staff from reception to restaurant and cleaners. especially night manager,all was perfect,10
15,Ayisa,United Kingdom,Superior Double Room,2 nights ·  November 2020,Couple,Reviewed: 3 November 2020,AMAZING!,"Me and my partner loved everything about this hotel, especially the service! The staff were friendly and helpful with what ever we needed the breakfast was lovely also, especially the hot chocolate. I’m really happy that I booked this hotel & we will definitely be coming back. Thank you everyone at Novotel, we appreciate you!",Nothing! The property was lovely!,8.0
16,Lizzy,United Kingdom,Superior Double Room,1 night ·  November 2020,Couple,Reviewed: 2 November 2020,Birthday Trip 🍾,"WOW...
This hotel is honestly one of the best I’ve ever stayed in. From the moment we arrived, to the minute we checked out, everything was incredible 🤩
I’d booked it pretty last minute, for my boyfriend and I to celebrate his birthday. I emailed the hotel in advance to let them know it was a special occasion. Upon arriving at the hotel, one of the lovely ladies at reception (I didn’t catch her name) was so welcoming and told us everything we needed to know.
After checking in, we went up to our room on the 17th floor (1706). WOW x2! The room was spotlessly clean, and was honestly better than I could have ever hoped. The highlight was probably the amazing view of the city skyline. Seeing London at sunset, lit up at night and waking up to it in the morning was incredible.
Upon exploring the room, we came across a birthday card and caramel chocolate left for my boyfriend - such a nice touch. It sounds a bit odd, but we also couldn’t get over how nice the bathroom was! I mean the glass wall in the shower frosts with the touch of a button... we even took a video 😂
After checking in, we went down to use the pool. Again, everything was perfect. The changing rooms were so nice and clean and the pool was beautiful! Great temperature and the perfect way to unwind after travelling into Canary Wharf from Essex.
After using the pool, we came back up to our room to order a snack and a few drinks via room service. Great service again - the fries, along with a couple of beers, with our view of London went down a treat!
We didn’t visit the hotel restaurant (Bokan) for dinner, but we did go up to the bar later on that night. The service was impeccable once again, and the rooftop bar has the best 360 degree views of london 🥂
Honestly, don’t even hesitate to book this hotel!",Everything was perfect!,10
17,Jadon,United Kingdom,Executive Suite,2 nights ·  October 2020,Family,Reviewed: 2 November 2020,Executive suite was great!,"Stayed in the executive suite, had an amazing view, nice room and 60 inch tv, was great for setting up my work station and looking at the chart.",Not Available,10
18,Halil,United Kingdom,Studio Suite,5 nights ·  October 2020,Solo traveller,Reviewed: 1 November 2020,Amazing!,The hotel is lovely and clean and staff are so friendly and helpful. The restaurant and bar on the top floor has one of the best views of London. 10/10!!!,N/A,10
