Title,Review,Date,Rating
All ok except the cost of parking,We had a budget 2 night stay and its a well set hotel a short walk from the shopping malls in Canary Wharf and 2 minutes from the tube into London. So location is top marks. Service was ok and the room good if a little hot and slightly dated. We had value for  money in the cost. The breakfast was buffet style and eat your heart out. They should serve the coffee though - its help yourself. The parking though is 21 pounds a day so get your card out !!!!!!. So worth a go in location if you have the right deal .We had a great view of the water too- 3rd floor/!!!!!!!!!,Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_40""></span>"
Bad experience overall,"I had the worse experience ever. The furniture is old, the room stinks, the beds are small, other than the reception desk who are trained and nice .... the service is bad. I was kicked out from the breakfast room because my name is not in the list! although I told the waiter upfront that I will pay for the breakfast!",Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_20""></span>"
Better than expected,"stayed as part of a national coach trip ,pleasantly impressed much better than we expected after staying at other Britannia Hotels. We had a nice room very roomy ,clean and modern bed fine nice bedding . Food carvery style but for what you pay good value for money couldn't complain . Drinks a little pricey but i suppose hotel prices ,staff all very pleasant",Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_40""></span>"
Dismal,"I booked a double room six months in advance of staying here before the London Marathon. Turned up to be told there weren't any double rooms left, with no apology or sense of remorse. The twin room I was given was very tired-looking and noisy - you could hear the light railway outside and a lot of noise from rooms either side. Some room service plates in the corridor outside my room (not mine) were not moved throughout my stay. Thoroughly unimpressed.",Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_10""></span>"
Good value for weekend break,"Service was very good, room was large and comfortable, hotel could do with a bit of TLC however it was good value and in excellent  location. Had requested view of docks which we had, all in all a good stay.",Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_40""></span>"
Location is the best thing,"Stayed here for 1 night before the London Marathon so it was close to accessing the starting line at Greenwich Park (tube very close to here and plenty of restaurants around to walk to). Big old hotel, room ok but needed renovating. Narrow single beds although a double was requested. Basic and ok for the price, and convenient.",Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_30""></span>"
Nice Reasonable hotel,I booked this last minute and luckily got the reservation. Staff is kind. It was a good stay. I request for a double room but they were left only with the twin one but it's ok since it was all last minute.,Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_40""></span>"
ok for london,"this hotel is not the savoy but neither is the price, for london it is not bad the food is not great but breakfast is ok with no limits and good choice , there are plenty of good food pubs and restaurants within walking distance on the wharf and it is an interesting place to take a walk on a nice night. The bar is ok but the seats are an art to get in and out of . Overall for the price a good mid range hotel that is a bit overdue a refurb but you only sleep there and the rooms aren't to bad",Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_40""></span>"
One of Britannia's Best Hotels,"Arrived on a National Holidays 3 day coach trip.  Was upgraded to a twin room which was quite large and well equipped including an iron & ironing board & a flat screen TV with Freeview channels.  As with all Britannia Hotels the room would benefit greatly from a major refurbishment as the decor is very tired. The major let down in the room (409) was the shower which you could only stand underneath if you are under 5ft tall.  It was also very difficult to get the temperature right.  The food in Jenny's Restaurant was OK, but especially at dinner, it was obvious it was low quality.  The public areas of the hotel are well decorated and furnished to a high standard.  The bar is reasonably priced for London, and all the staff in the hotel were polite and very helpful.  The hotel is",Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_40""></span>"
"Vile out of date hotel, riddled with moths and carpets eaten by bugs!!! Do not stay here it is more like 1 star!!","This hotel is vile, we had three different rooms which varied in horrible experiences! First room was like a box, with no windows, 2nd room infested with moths, 3rd room slightly better but back to no windows.  I have attached some pictures of the eaten carpet to give you an idea of how vile it is. This hotel is more like a 1/2 star, disappointing as Canary Wharf is such a modern area! Do not stay here!!!",Date of stay: April 2016,"<span class=""ui_bubble_rating bubble_10""></span>"
