,Review,Cleaned_Review,Category
0,Room quality.. hotel staff.. the bar..,room quality hotel staff bar,1
1,"The bed, size of room, the bath tub feature in the bathroom and the location",bed size room bath tub feature bathroom location,1
2,I was made very welcome at the britania Hotel .exerlent reception staff .Great hospitality. I would especially like to thank Syl on reception,make welcome britania hotel exerlent reception staff great hospitality would especially like thank syl reception,1
3,Location was brilliant.,location brilliant,1
4,"Syl checked me in. She was friendly and professional. Offered me an upgrade and helped to make my stay very lovely. 
She is truly a valuable member of your team",syl check friendly professional offer upgrade help make stay lovely truly valuable member team,1
5,The Hotel was competitively priced clean and a great location for mt visit,hotel competitively price clean great location mt visit,1
6,"Very nice Hotel, suitably located for my visit.",nice hotel suitably locate visit,1
7,Location. I know the area quite well and rhe access is quite easy,location know area quite well rhe access quite easy,1
8,"The images on bookings.com
The receptionist
The shower. Cheap but nice an warm",image bookingscom receptionist shower cheap nice warm,1
9,I'm yet to see the Friday bar.Aside that everything looked splendid and warm reception too.,I yet see friday baraside everything look splendid warm reception,1
10,"Attention Reception... They are very polite...
Thanks for the hospitality.",attention reception polite thank hospitality,1
11,"Good place, perfect location for me, clean, good staff good and clever reception !",good place perfect location clean good staff good clever reception,1
12,"The location is PERFECT!!!
There was no breakfast, restaurant was closed.
The staff is friendly and gives a helping hand if you need it.",location perfect breakfast restaurant close staff friendly give help hand need,1
13,Disappointed with the heating .the heating was really hard to turn it on,disappoint heat heat really hard turn,1
14,Perfect location reasonable price,perfect location reasonable price,1
15,Continuous buzzing noise coming from heating system in ceiling which kept me awake through the night. Interior is dated and a little tied.,continuous buzz noise come heat system ceiling keep awake night interior date little tie,1
16,It was two single beds joint together,two single bed joint together,1
17,"Nice staff 
Classic layout
Good location",nice staff classic layout good location,1
18,"The room was lovely, period features and a vintage feel to it. If it wasn't for the tv and the fan, we would have felt like we were on a n old movie set. It might not be to everyone's taste but this hotel holds a certain charm that you wouldn't get in a more modern one. We loved it . Staff were polite and helpful.",room lovely period feature vintage feel not tv fan would felt like n old movie set might not everyone taste hotel hold certain charm would not get modern one love staff polite helpful,1
